Model,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,CV_Mean_F1,CV_Std_F1
LogisticRegression,0.5510204081632653,0.604282622139765,0.5510204081632653,0.546910192648488,0.6324574940881144,0.013849172080056647
Ensemble,0.40816326530612246,0.47959183673469385,0.40816326530612246,0.43328100470957615,0.8232525571550221,0.016520359584986072
SVM,0.40816326530612246,0.43112244897959184,0.40816326530612246,0.401360544217687,0.6350945500406298,0.0070438873311005155
RandomForest,0.3877551020408163,0.4653061224489796,0.3877551020408163,0.4149659863945578,0.8129061027215416,0.015866208504720643
GradientBoosting,0.3877551020408163,0.4653061224489796,0.3877551020408163,0.4149659863945578,0.8126575574848157,0.013809183573223544
